number_samples,number_calls,number_times,mean_times,median_times,max_times,sum_times
40.0,185.64,183.68,64.92595093831423,54.03394000156786,315.28202855362616,11917.199452032994
80.0,370.9,368.92,96.08228405050762,67.472669898815,749.8762262216592,35455.840774773846
120.0,552.52,550.52,135.03253416958557,84.04496236132677,1467.5572786577695,74365.00649527198
160.0,735.46,733.52,179.56875231575222,102.68407497653621,2666.7000047125866,131699.2852901583
200.0,921.1,919.12,223.87725868941777,120.96808523150845,3573.2594034986264,205782.67627798242
240.0,1105.6,1103.64,281.3695595753672,141.5031528773132,4463.914783603656,310437.20507432986
280.0,1289.98,1288.0,317.0633103322854,157.4517032062608,4843.640091058538,408337.82574001275
320.0,1468.38,1466.12,372.23888864533075,177.2064476332131,4806.314984000689,545605.6635996364
360.0,1656.76,1653.22,416.13820646213213,193.31809450805508,5145.694563187403,688113.0484298216
400.0,1838.22,1835.64,492.50998608397606,214.43705338752375,5666.381165238857,904017.4033580715
440.0,2025.18,2023.14,598.1006119366488,235.62282879863542,5993.8419713904905,1210117.9156561834
480.0,2210.98,2207.44,697.6657522503344,259.80646486156917,6358.150821367587,1540152.997137474
520.0,2392.2,2387.28,809.717885080186,286.76009690197736,6730.857340989802,1933114.7467679263
560.0,2573.22,2568.06,939.7157878273586,333.36908094963286,6999.186349081924,2413780.258482621
600.0,2762.14,2751.26,1075.182203023044,376.2530148931133,7067.277183219923,2958254.8148730043
640.0,2942.76,2930.72,1232.0059676518754,437.3979306788103,7233.030731012838,3610864.5150590288
680.0,3127.6,3103.58,1420.3126848439067,509.79897430933613,7673.313390882868,4408447.05073958
720.0,3310.44,3275.62,1584.1484560541244,571.0446448457196,8148.215352260002,5189250.043351305
760.0,3491.68,3444.92,1753.3357078244524,679.3763931266975,8498.248927691464,6040067.394390553
800.0,3685.12,3632.9,1951.5010764822346,756.140633213762,9158.312159433148,7090924.857622767
